Samples	Purity_InfiniumPurify	Purity_ABSOLUTE
TCGA-EW-A1PH-01	0.81	
TCGA-A2-A0YL-01	0.47	0.33
TCGA-AC-A6NO-01	0.74	
TCGA-AO-A0JB-01	0.78	
TCGA-A2-A04R-01	0.85	0.88
TCGA-BH-A1FC-01	0.64	
TCGA-AR-A2LJ-01	0.51	
TCGA-GM-A2DA-01	0.59	
TCGA-D8-A27R-01	0.59	
TCGA-C8-A1HL-01	0.79	
TCGA-A2-A0T2-01	0.78	0.82
TCGA-BH-A1EW-01	0.62	
TCGA-EW-A1J5-01	0.64	
TCGA-AC-A3BB-01	0.53	
TCGA-EW-A6S9-01	0.69	
TCGA-BH-A8G0-01	0.45	
TCGA-HN-A2NL-01	0.81	
TCGA-LL-A8F5-01	0.65	
TCGA-A7-A5ZV-01	0.75	
TCGA-C8-A8HR-01	0.44	
TCGA-AO-A124-01	0.83	0.81
TCGA-EW-A2FW-01	0.81	
TCGA-E9-A1RC-01	0.83	
TCGA-AR-A0TQ-01	0.59	0.33
TCGA-E2-A1LG-01	0.78	
TCGA-B6-A0WY-01	0.52	0.25
TCGA-BH-A1FG-01	0.73	
TCGA-AO-A1KR-01	0.6	0.41
TCGA-AC-A3TM-01	0.64	
TCGA-E9-A1N3-01	0.67	
TCGA-E2-A1LB-01	0.65	
TCGA-OL-A6VO-01	0.68	
TCGA-BH-A1F2-01	0.62	
TCGA-BH-A1ES-01	0.77	
TCGA-A2-A0EP-01	0.3	
TCGA-GM-A3XL-01	0.62	
TCGA-BH-A18V-06	0.54	
TCGA-E2-A1LS-01	0.81	
TCGA-BH-A1EN-01	0.77	
TCGA-BH-A1EV-01	0.78	
TCGA-AN-A0XV-01	0.64	0.59
TCGA-A1-A0SI-01	0.62	0.54
TCGA-BH-A8FY-01	0.82	
TCGA-BH-A0HK-01	0.77	0.78
TCGA-LL-A441-01	0.45	
TCGA-C8-A1HN-01	0.79	
TCGA-S3-A6ZF-01	0.66	
TCGA-BH-A1FR-01	0.68	
TCGA-C8-A26Y-01	0.59	
TCGA-A2-A3Y0-01	0.58	
TCGA-AO-A1KQ-01	0.68	0.61
TCGA-BH-A0DS-01	0.72	0.63
TCGA-D8-A1JI-01	0.8	
TCGA-E2-A1IJ-01	0.53	
TCGA-AR-A1AN-01	0.62	0.55
TCGA-AR-A5QN-01	0.58	
TCGA-EW-A6SC-01	0.67	
TCGA-B6-A1KF-01	0.82	0.81
TCGA-LL-A6FR-01	0.65	
TCGA-BH-A201-01	0.59	
TCGA-EW-A1IZ-01	0.47	
TCGA-E2-A573-01	0.53	
TCGA-E2-A56Z-01	0.83	
TCGA-A2-A0T4-01	0.55	0.49
TCGA-AR-A0TT-01	0.53	0.4
TCGA-C8-A278-01	0.52	
TCGA-AR-A0TP-01	0.89	0.93
TCGA-A7-A26H-01	0.64	0.62
TCGA-E9-A24A-01	0.61	
TCGA-EW-A1PG-01	0.45	
TCGA-D8-A1J9-01	0.67	
TCGA-LL-A5YN-01	0.5	
TCGA-D8-A3Z6-01	0.65	
TCGA-E9-A295-01	0.62	
TCGA-A2-A1G1-01	0.59	0.42
TCGA-AQ-A7U7-01	0.46	
TCGA-AR-A0TX-01	0.53	0.41
TCGA-AR-A2LR-01	0.75	0.77
TCGA-OL-A66I-01	0.5	
TCGA-E9-A1R5-01	0.67	
TCGA-BH-A0C3-01	0.51	0.39
TCGA-AO-A0JC-01	0.28	
TCGA-AN-A0XR-01	0.85	0.86
TCGA-AR-A24S-01	0.62	0.46
TCGA-A2-A0SV-01	0.65	0.46
TCGA-AC-A2FK-01	0.3	
TCGA-EW-A6SD-01	0.64	
TCGA-BH-A2L8-01	0.5	
TCGA-BH-A0AU-01	0.66	0.46
TCGA-AR-A0TU-01	0.68	0.74
TCGA-E2-A576-01	0.74	
TCGA-A7-A4SC-01	0.54	
TCGA-AR-A24O-01	0.51	0.4
TCGA-OL-A66O-01	0.82	
TCGA-E9-A1NC-01	0.51	
TCGA-A2-A0T1-01	0.47	0.19
TCGA-C8-A26Z-01	0.81	
TCGA-A2-A3XT-01	0.59	
TCGA-A2-A259-01	0.5	0.44
TCGA-D8-A1X7-01	0.75	
TCGA-BH-A208-01	0.56	
TCGA-C8-A1HK-01	0.79	
TCGA-A2-A1G6-01	0.35	
TCGA-BH-A0BS-01	0.73	0.74
TCGA-AR-A24L-01	0.57	0.59
TCGA-AN-A0XO-01	0.71	0.67
TCGA-A1-A0SN-01	0.62	0.5
TCGA-BH-A0HN-01	0.84	
TCGA-EW-A1P0-01	0.81	
TCGA-BH-A0H3-01	0.61	0.52
TCGA-A7-A3J0-01	0.83	0.87
TCGA-AO-A0JM-01	0.69	0.55
TCGA-AR-A1AU-01	0.6	0.51
TCGA-EW-A1OX-01	0.88	
TCGA-A2-A4RY-01	0.42	
TCGA-AC-A2BK-01	0.88	0.86
TCGA-B6-A409-01	0.57	
TCGA-A2-A4S1-01	0.57	
TCGA-GM-A5PV-01	0.61	
TCGA-C8-A26W-01	0.64	
TCGA-BH-A0DK-01	0.58	0.53
TCGA-BH-A1EO-01	0.66	
TCGA-BH-A0HX-01	0.71	0.6
TCGA-AQ-A1H3-01	0.58	0.59
TCGA-B6-A3ZX-01	0.38	
TCGA-BH-A0HP-01	0.59	0.5
TCGA-AR-A1AV-01	0.82	0.65
TCGA-BH-A0B3-01	0.59	0.47
TCGA-AC-A2QJ-01	0.58	
TCGA-E9-A227-01	0.61	
TCGA-D8-A1XB-01	0.61	
TCGA-A2-A0CR-01	0.43	
TCGA-B6-A0RS-01	0.67	0.51
TCGA-B6-A0RG-01	0.85	0.81
TCGA-E2-A15I-01	0.65	
TCGA-E2-A2P5-01	0.67	
TCGA-A8-A0A6-01	0.6	0.31
TCGA-D8-A27E-01	0.5	
TCGA-E9-A54X-01	0.71	
TCGA-BH-A0H0-01	0.83	0.88
TCGA-AC-A62Y-01	0.64	
TCGA-E9-A1RF-01	0.64	
