GSM1401648	GSM1401649	GSM1401650	GSM1401651	GSM1401653	GSM1401654	GSM1401665	GSM1401668	GSM1401672	GSM1401673	GSM1401674	GSM1401675	GSM1576391	GSM1576395	GSM1576399	GSM1576407	GSM1576415	GSM1576419	GSM1576423	GSM1576427	GSM1576435	GSM1576443	GSM1695870	GSM1695871	GSM1695872	GSM1695873	GSM1695874	GSM1695875	GSM1695876	GSM1695877	GSM1695878	GSM1695879	GSM2430225	GSM2430226	GSM2430227	GSM2839374
A1BG	21.97	6.83	20.88	60.05	79.12	119.04	79.04	7.44	68.3	29.23	117.81	78.68	120.92	82.36	157.5	31.04	148.97	102.12	78.37	138.19	43.63	86.39	7	20.25	10.23	10.13	19.31	10.28	13	14.15	26.25	22.7	70.42	98.39	101.87	86.08
A1CF	0	22	8	2	2	0	30	1	24	0	2	9	1	0	0	0	5	1	0	0	0	1	2	9	2	8	5	1	2	0	2	3	1	0	0	3
A2M	82	0	1058.97	46	17	8	5	0	6.83	194.32	196362.4	113	1	11.93	15	35.32	33.15	2	19.11	5.05	47.22	19.48	2846.99	1998.7	6412.53	405	872.8	10116.86	2871.8	1108	1538.43	845	762.88	174	38	216.96
A2ML1	10	15	109	8	26	5	317	503	3	405	49	2665	0	6	3	0	0	0	16	0	0	0	88	63	121	240	508	28	21	52	131	46	0	2	0	1
A4GALT	169	1	7	94	2362	115	78	799	21	122	182	877	3	0	0	0	0	5	0	0	0	0	203	903	184	154	306	410	562	254	423	407	266	477	613	955
A4GNT	0	0	3	1	0	3	0	0	1	0	2	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	4
AAAS	726	699	565	1004	2234	3052	750	578	1264	1476	1618	3056	802	655	679	848	977	673	711	682	744	634	270	437	297	406	280	358	339	128	289	265	338	359	497	482
AACS	866	569	982	963	2223	1141	2217	741	2445	5328	2325	3594	277	130	276	515	468	169	121	191	493	267	748	857	753	844	1113	730	446	571	758	1182	406	473	583	717
AADAC	6	1	19	0	3	3	2	0	1	0	4	16	0	0	0	0	0	0	0	0	0	0	12	5	3	7	3	3	10	2	5	1	0	0	0	231
AADACL2	0	3	4.65	0	4	0	1	0	0	0	16.25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1
AADACL3	5	2	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AADACL4	3	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	180	28	213	86	73	6	59	38	592	2	1199	193	0	0	0	1	0	0	0	0	3	0	30	110	49	9	44	24	44	12	40	35	130	95	162	120
AAGAB	975	651	725	235	1133	722	2087	414	640	6317	1250	2380	536	765	648	817	612	457	861	659	681	394	1413	2144	1599	2192	1808	1554	1665	1387	1747	1391	641	727	615	1049
AAK1	249.04	96.09	580.14	413.32	329.65	515.79	1674.52	465.54	772.11	3683.67	945.16	3149.15	31	389.9	438.91	1589.26	2802.59	27.23	382.39	412.11	1100.58	1310.55	502.42	830.85	769.87	1151.37	568.03	639.38	544.87	547.65	868.83	487.13	328.18	372.13	480.48	767.45
AAMP	2018	1347	1266	1509	6172	1359	2048	1538	2661	5082	4326	4313	1229	2536	2189	1384	1233	967	2390	2047	1184	807	1225	1848	1007	1706	1418	1361	1589	1420	1537	1489	1057	1203	1550	1597
AANAT	7	5	4	3	8	5	10	21	17	3	18	10	69	6	7	30	5	68	31	32	22	3	4	4	5	1	4	8	3	2	3	1	0	1	1	10
AARS	6540	12833	3654	4954	9349	19427	28199	3407	9343	71997	5769	32788	991	799	699	1017	1149	833	822	654	950	781	5200	6301	5978	4161	5338	6277	5919	5362	5369	4063	3072	2445	1850	2147
AARS2	405.92	509.9	528.96	258.95	903.9	679.87	725.85	420	1548.7	2185.79	2837.37	1479.73	497.96	268.96	235.92	546.84	567	283	249.99	228.98	377.7	337.82	171	354	225	160	250	149	215	68	153.86	211	147.95	123.86	242	231.8
AARSD1	317	223	207.95	237.72	389.36	899.97	548.5	146.83	732.79	675.89	1203.95	717.66	467.61	307.71	319	378	543.95	361	318	214	362.42	416	471.91	759.8	491.07	374	575.65	450.46	566	288.97	464.45	506.86	313.02	236.71	327.1	200.95
AASDH	150	239	236	99	160	353	1056	158	635	953	1017	780	435	305	356	356	497	257	287	300	342	324	221	515	369	312	262	228	217	183	325	436	151	130	150	203
AASDHPPT	448	911	1257.98	217	223	1270.86	1364	282	1754	3953	2213.8	1447.98	526.94	608.89	698.9	563.82	670.59	318.65	522.92	474.65	509	354	565	994	821	400.63	737	561	533	244	583	525.88	533	487.95	506.93	826.88
AASS	3	61	3	9	28	286	8	1	736	257	104	159	214	2	13	100	182	142	2	18	89	105	265	839	538	97	305	366	417	578	954	612	230	256	178	239
AATK	55	4	42	237.68	87	92.44	32	93	450	114	195.11	85	7	220	549.84	689.91	18	8	326.87	981.88	360	14	23	28.66	32.73	17.46	24	41.67	48	26	43.33	32.8	5	1	19	12.64
