Num	Sample	Cell_Subtype	Cell_Type
1	PT089_P1_A01	epithelial	Epithelial
2	PT089_P1_A02	epithelial	Epithelial
3	PT089_P1_A03	epithelial	Epithelial
4	PT089_P1_A04	macrophage	Immune
5	PT089_P1_A05	macrophage	Immune
6	PT089_P1_A06	epithelial	Epithelial
7	PT089_P1_A07	epithelial	Epithelial
8	PT089_P1_A08	macrophage	Immune
9	PT089_P1_A09	epithelial	Epithelial
10	PT089_P1_A10	epithelial	Epithelial
11	PT089_P1_A12	epithelial	Epithelial
12	PT089_P1_B01	epithelial	Epithelial
13	PT089_P1_B02	stroma	Stroma
14	PT089_P1_B03	macrophage	Immune
15	PT089_P1_B04	epithelial	Epithelial
16	PT089_P1_B06	stroma	Stroma
17	PT089_P1_B07	epithelial	Epithelial
18	PT089_P1_B08	epithelial	Epithelial
19	PT089_P1_B09	macrophage	Immune
20	PT089_P1_B11	epithelial	Epithelial
21	PT089_P1_B12	epithelial	Epithelial
22	PT089_P1_C01	stroma	Stroma
23	PT089_P1_C02	macrophage	Immune
24	PT089_P1_C03	epithelial	Epithelial
25	PT089_P1_C04	stroma	Stroma
26	PT089_P1_C05	macrophage	Immune
27	PT089_P1_C06	macrophage	Immune
28	PT089_P1_C07	macrophage	Immune
29	PT089_P1_C08	macrophage	Immune
30	PT089_P1_C09	macrophage	Immune
31	PT089_P1_C10	epithelial	Epithelial
32	PT089_P1_C11	macrophage	Immune
33	PT089_P1_C12	epithelial	Epithelial
34	PT089_P1_D01	macrophage	Immune
35	PT089_P1_D02	epithelial	Epithelial
36	PT089_P1_D03	epithelial	Epithelial
37	PT089_P1_D04	macrophage	Immune
38	PT089_P1_D05	macrophage	Immune
39	PT089_P1_D06	macrophage	Immune
40	PT089_P1_D07	macrophage	Immune
41	PT089_P1_D08	macrophage	Immune
42	PT089_P1_D09	epithelial	Epithelial
43	PT089_P3_A03_S291	epithelial	Epithelial
44	PT089_P3_A05_S293	epithelial	Epithelial
45	PT089_P3_A06_S294	epithelial	Epithelial
46	PT089_P3_A08_S296	epithelial	Epithelial
47	PT089_P3_B01_S301	epithelial	Epithelial
48	PT089_P3_B02_S302	epithelial	Epithelial
49	PT089_P3_B05_S305	epithelial	Epithelial
50	PT089_P3_B06_S306	epithelial	Epithelial
51	PT089_P3_B08_S308	epithelial	Epithelial
52	PT089_P3_B09_S309	epithelial	Epithelial
53	PT089_P3_B10_S310	epithelial	Epithelial
54	PT089_P3_B12_S312	epithelial	Epithelial
55	PT089_P3_C02_S314	epithelial	Epithelial
56	PT089_P3_C03_S315	epithelial	Epithelial
57	PT089_P3_C04_S316	epithelial	Epithelial
58	PT089_P3_C05_S317	epithelial	Epithelial
59	PT089_P3_C10_S322	epithelial	Epithelial
60	PT089_P3_D01_S325	epithelial	Epithelial
61	PT089_P3_D02_S326	epithelial	Epithelial
62	PT089_P3_D03_S327	epithelial	Epithelial
63	PT089_P3_D04_S328	epithelial	Epithelial
64	PT089_P3_D05_S329	epithelial	Epithelial
65	PT089_P3_D08_S332	epithelial	Epithelial
