Samples	epithelial	stroma	endothelial	Tcell	Bcell	macrophage	P-value	Correlation	RMSE
TCGA-AR-A5QQ-01	0.287706394145315	0.384428512633343	0.102079170670858	0.0805378856870022	0.0350532638708626	0.110194772992619	0	0.181320673167281	1.08342276489522
TCGA-D8-A1JA-01	0.410077679805514	0.457999184244002	0.0333634805350888	0	0.0100207299861804	0.088538925429215	0	0.558022213689374	0.848688820344529
TCGA-BH-A0BQ-01	0.345825695806076	0.491600485930137	0.136629821119	0.0161506005691489	0.00885320395294696	0.000940192622690238	0	0.551519418358002	0.864347908928744
TCGA-BH-A0BT-01	0.52401593617957	0.354089161627167	0.115857526355224	0	0.00153306321005289	0.00450431262798622	0	0.416995807552855	0.931655219349131
TCGA-A8-A06X-01	0.478183952887017	0.332393421424017	0.184936190556962	0	0.0025942570923425	0.00189217803966153	0	0.380028152275684	0.951041670730746
TCGA-A8-A096-01	0.195075449526532	0.569724747424695	0.138096484661776	0.0205191257289188	0.0322663251335977	0.0443178675244809	0	0.536239438849172	0.908217676154751
TCGA-BH-A0C7-01	0.424205660867422	0.354729482795992	0.206090378637329	0	0.0149744776992569	0	0	0.466689479247831	0.898309630619375
TCGA-AC-A5XU-01	0.341542890595051	0.380510518812395	0.233597333983636	0	0.0364553732977666	0.00789388331115145	0	0.498714814887071	0.879961094658371
TCGA-PE-A5DE-01	0.318419510362865	0.254746154802274	0.196416438775824	0.149702515641346	0.0637876266281932	0.0169277537894977	0	0.366876608005738	0.936693565968881
TCGA-PE-A5DC-01	0.392740723332285	0.294913594614794	0.299996893969449	0.011259784033837	0.00108900404963486	0	0	0.430110513831789	0.914422119182206
TCGA-AR-A0TV-01	0.557510394136162	0.160164655014658	0.181365864334561	0.00471347897514243	0.076536875217936	0.0197087323215417	0	0.26180650180843	0.978412635422756
TCGA-GM-A3XG-01	0.625663710152891	0.119410633678806	0.248106345960256	0.00164931641584306	0.00273736497045651	0.00243262882174673	0	0.544308708728671	0.845761634232645
TCGA-BH-A18J-01	0.471250578404906	0.388437953921196	0.0958904587029476	0	0.00768032028001169	0.0367406886909392	0	0.460266585197193	0.908451632679369
TCGA-BH-A0W7-01	0.271594965387405	0.528217500054503	0.0958555469888595	0.0215077608691702	0.0362193252934873	0.0466049014065751	0	0.581898085614723	0.845692060856316
TCGA-E9-A3QA-01	0.579740371246793	0.159296064678576	0.099135296604683	0.0629900518848446	0.0623833220030174	0.0364548935820851	0	0.430807457609526	0.902823931626254
TCGA-A7-A4SD-01	0.518838759023821	0.350988751506161	0.0110540847485605	0.0168525211134995	0.0329120789442965	0.069353804663662	0	0.493673550900763	0.876680988293352
TCGA-BH-A0HA-01	0.196105903439038	0.586281872325116	0.187071737671113	0.0132335919428096	0.0152830289168731	0.0020238657050504	0	0.556152045898621	0.900713014702672
TCGA-AR-A5QN-01	0.411045867925074	0.369014833313067	0.196695555150881	0.0111717396967253	0.00928512642193022	0.00278687749232233	0	0.447797455632342	0.913969472270628
TCGA-A7-A0CH-11	0.225602039977898	0.420540692968639	0.321229860943194	0	0.0121699187485759	0.0204574873616928	0	0.633250990867431	0.77872147230295
TCGA-A7-A0CE-01	0.734773737732576	0.150319394971197	0.10381426978813	0	0.000999678603170492	0.0100929189049273	0	0.508464318236162	0.863052121010455
TCGA-AR-A0U1-01	0.633668627898672	0.16208982123848	0.14630581089492	0	0.00766618200440178	0.0502695579635271	0	0.485106376452923	0.875381449504329
TCGA-EW-A1OZ-01	0.324030884105667	0.376623596697693	0.143871158527332	0	0.0100942886695471	0.14538007199976	0	0.427867417664813	0.932460953475899
