Cancerous Epithelial 1	Cancerous Epithelial 2	Cancerous Epithelial 3	Cancerous Epithelial 4	Cancerous Epithelial 5	Normal epithelial	Stromal	Immune
TCGA-A1-A0SB-01	7.93E-19	0.274278507	1.72E-17	0.129676275	3.34E-18	0.568130874	0.027914344	6.00E-19
TCGA-A1-A0SD-01	0.114079626	-1.76E-20	0.198633679	-3.25E-19	0.2340262	0.181100912	0.155620599	0.116538984
TCGA-A1-A0SE-01	0.140789785	0.031520877	0.196384343	0.075255957	0.179954035	0.185966311	0.128913541	0.061215151
TCGA-A1-A0SF-01	0.158639003	0.035716895	0.074953082	0.216726805	0.23503363	0.063209235	0.086786206	0.128935144
TCGA-A1-A0SG-01	0.005828411	0.039478619	0.337173625	0.166786214	0.150330215	0.061396106	0.071520687	0.167486123
TCGA-A1-A0SH-01	0.174674022	0	0.149061885	0.067635554	0.150907756	0.114625131	0.297009288	0.046086364
TCGA-A1-A0SI-01	0.032405837	0.073623493	0.112107638	0.181263358	0.277848749	0.050479256	0.129480861	0.142790809
TCGA-A1-A0SJ-01	0.232514639	-1.24E-19	0.060040188	0.002586662	0.320205484	0.193319928	0.068015737	0.123317362
TCGA-A1-A0SK-01	3.68E-20	0.429383862	-2.93E-18	0.151235892	-6.40E-18	0.419380246	0	-5.68E-18
TCGA-A1-A0SM-01	0.288324974	1.26E-18	1.49E-19	-5.04E-18	0.380874188	0.09232862	0.120285162	0.118187055
TCGA-A1-A0SN-01	0.381075434	0.033014289	0.086236517	0.112584183	0.141467268	0.028409755	0.021712484	0.19550007
TCGA-A1-A0SO-01	0.291474009	0.477361546	0.085280842	0.015061096	9.08E-18	0.103833687	0.02698882	0
TCGA-A1-A0SP-01	0.250774846	0.221424789	0.014039124	0.183996417	-1.90E-18	0.103043299	0	0.226721524
TCGA-A1-A0SQ-01	0	1.21E-18	0.274653917	0.211412887	0.380160076	0.037949259	0.063256796	0.032567065
TCGA-A2-A04N-01	0.001648465	0.102094788	0.128169542	0.020647241	0.294851907	0.272681836	0.088931897	0.090974325
TCGA-A2-A04P-01	0	0.461756392	0.111001532	0.075307501	-6.53E-18	0.015797362	0.139552585	0.196584627
TCGA-A2-A04Q-01	0.20323868	0.045309952	0	0.132269177	-9.48E-18	1.30E-17	0.080294273	0.538887918
TCGA-A2-A04R-01	0.207194054	-9.98E-19	0.575767824	0.065615551	0.125283001	0.02613957	6.04E-18	0
TCGA-A2-A04T-01	0.075014129	0.439577874	0.011242722	-6.97E-18	-4.69E-18	0.147000395	0.116071823	0.211093057
