"sampleID"	"sampleNumber"	"Epithelial_Basal"	"Epithelial_Control"	"Epithelial_Her2"	"Epithelial_Luminal"	"Epithelial_Other"	"Macrophages"	"Stromal"	"T_cells"	"Epithelial_All"	"Colsum"	"number"
"5"	"BCM_15003"	5	0.225019188565873	0.09002239	0	0.774980811434127	0.481594495	9.24e-18	0.104327627	0.06477608	0.830896293	0.259279408	5
"20"	"BCM_4195"	20	0.959412777249202	0.128453969	0	0.0405872227507978	0.236178752	0	0.132546417	0.061296688	0.806156895	0.441524174	20
"29"	"BCM_9161"	29	0.980202214821168	0.102596304	1.9728911705539e-17	0.0197977851788317	0.336793585	0	0.073909094	0.042175738	0.883915169	0.44452528	29
"16"	"BCM_3887"	16	0.986314663534846	0.083945018	0	0.0136853364651538	0.36261037	0	0.069562891	0.034262085	0.896175024	0.449619636	16
"26"	"BCM_7482"	26	0.9212511248544	0	0	0.0787488751455998	0.363048591	0	0.13190694	0.022587583	0.845505476	0.482456885	26
"23"	"BCM_4913"	23	0.591614859991822	0.16087641	0.0441369580583974	0.36424818194978	0.327321327	0	0.030402919	0.020969132	0.94862795	0.460430213	23
"22"	"BCM_4664"	22	0.724920456715877	0.161156157	0.275079543284122	0	0.285745367	0.06498918	0.007679969	0.009265414	0.918065437	0.471163913	22
"44"	"WHIM2"	44	1	0.168410769	0	0	0.279398324	0.102366875	2.7e-18	1.05e-17	0.897633125	0.449824032	44
"18"	"BCM_3936"	18	0	0.377692472	1	0	0.384775593	0.014566687	0	1.01e-17	0.985433313	0.222965248	18
"6"	"BCM_15006"	6	0.66784953523483	0.019141322	0.33215046476517	3.00175735190282e-17	0.591086999	0	0	5.88e-18	0.999999999	0.389771678	6
"19"	"BCM_4013"	19	0.2056080445219	0.308055958	0.709179804456732	0.0852121510213685	0.356118569	0.035140572	0.001477362	5.83e-18	0.963382066	0.299207539	19
"38"	"HCI_024"	38	1	0.423563331	5.28149877205999e-18	1.0478493563767e-17	0.23458238	0.060966533	0.044212515	4.91e-18	0.894820953	0.236675242	38
"48"	"WHIM69"	48	0.919796498457114	0.088069085	0	0.0802035015428858	0.245375336	0.035318301	0	4.65e-18	0.964681699	0.631237278	48
"46"	"WHIM6"	46	0.844472205375951	0.066079894	0.155527794624049	0	0.239747414	0.066327154	0.026777811	3.08e-18	0.906895035	0.601067727	46
"12"	"BCM_3204"	12	0.637254282386206	0.287986889	0.231336517648283	0.131409199965511	0.335536012	0.008556248	0.038298725	2.57e-18	0.953145028	0.329622127	12
"31"	"HCI_002"	31	0.1457443559884	0.350306099	0	0.8542556440116	0.251317383	0.038745641	0.03066699	2.18e-18	0.93058737	0.328963888	31
"17"	"BCM_3904"	17	0.734584000410087	0.067985809	0.265415999589913	1.37265866298185e-18	0.330990775	0	0	1.9e-18	1.000000001	0.601023417	17
"30"	"HCI_001"	30	0	0	0.795490225734847	0.204509774265153	0.273221986	0.074530157	2.78e-17	1.53e-18	0.925469843	0.652247857	30
"3"	"BCM_0104"	3	0.500852618801288	0.115503179	0	0.499147381198712	0.510795234	0	2.32e-18	1.1e-18	1.000000001	0.373701588	3
"37"	"HCI_023"	37	1	0.454803388	1.12210178062063e-17	4.81195794266149e-18	0.264431578	0.088987801	0.046514117	6.27e-19	0.864498081	0.145263115	37
"36"	"HCI_019"	36	1	0.241856314	0	3.00327567852561e-17	0.272227875	0.074002033	0.115903657	4.34e-19	0.810094311	0.296010122	36
"15"	"BCM_3611"	15	0.120035259855219	0.336254543	0.879964740144781	0	0.347137305	0.071056378	0	4.3e-19	0.928943622	0.245551774	15
"41"	"HCI_030"	41	1	0.107324327	0	0	0.287246511	0.061036912	0.035726332	4.08e-19	0.903236756	0.508665918	41
"50"	"WHIM75"	50	0.912290416469077	0.090615442	0.0670047560923288	0.0207048274385946	0.226780899	0.053612086	0	3.3e-19	0.946387915	0.628991574	50
"9"	"BCM_2147"	9	0.977575898039471	0.186688767	1.2242639421023e-17	0.0224241019605292	0.362554172	0.040481148	0.017386779	2.43e-19	0.942132073	0.392889134	9
"34"	"HCI_015"	34	0.995821221296058	0.136113196	0.00417877870394171	3.88065359005561e-17	0.287817071	0.125114769	5.49e-18	2.28e-19	0.874885231	0.450954964	34
"4"	"BCM_0132"	4	3.16883738807181e-17	0.208391113	0.948489472295544	0.0515105277044564	0.610140311	0.029046744	2.57e-18	1.24e-19	0.970953256	0.152421832	4
"47"	"WHIM68"	47	0.789438733182829	0.056464148	0.210561266817171	0	0.214758273	0.055343575	2.54e-19	1.24e-19	0.944656425	0.673434004	47
"10"	"BCM_2665"	10	0.911899983049151	0.19178642	0.0881000169508486	0	0.311028531	0.019096888	1.04e-18	9.16e-20	0.980903111	0.47808816	10
"40"	"HCI_028"	40	0	9.89e-18	1	7.04749724716136e-18	0.230495831	0.172128981	5.97e-18	0	0.82787102	0.597375189	40
"39"	"HCI_027"	39	1	6.43e-18	5.23259933659593e-18	0	0.327405518	0.169976217	7.66e-18	0	0.830023783	0.502618265	39
"33"	"HCI_010"	33	1	0.002507148	0	3.47067482291241e-18	0.279824596	0.081413847	0.085929156	0	0.832656997	0.550325253	33
"45"	"WHIM30"	45	0.63326360339211	0.313837989	0.178500046584057	0.188236350023833	0.242273431	0.081344216	0.014485367	0	0.904170416	0.348058996	45
"7"	"BCM_15008"	7	1	0.170478307	2.74098449919115e-18	0	0.300669275	0.080108545	1.23e-18	0	0.919891455	0.448743873	7
"25"	"BCM_5998"	25	0.593777661568236	0.247085045	0.406222338431764	5.56780842600876e-18	0.388950257	0.068834651	0.016744032	0	0.914421317	0.278386015	25
"13"	"BCM_3469"	13	0.628559347731041	0.229714356	0.218975780325193	0.152464871943767	0.324525814	0.065644363	9.04e-19	0	0.934355637	0.380115467	13
"1"	"BCM_0002"	1	0.283525088518722	0.290388173	0.549435449012412	0.167039462468865	0.297259416	0.060215041	0	0	0.939784959	0.35213737	1
"43"	"WHIM14"	43	1	0.289882266	1.73648496317589e-18	2.11748588336639e-18	0.241091689	0.059578214	1.93e-18	0	0.940421785	0.40944783	43
"32"	"HCI_009"	32	1	0.296448709	0	0	0.306152867	0.051997328	5.2e-18	0	0.948002672	0.345401096	32
"35"	"HCI_016"	35	0.634726385461827	0.215969843	0.250442823205445	0.114830791332728	0.25015007	0.051708164	0.06051211	0	0.887779726	0.421659813	35
"8"	"BCM_15029"	8	4.14055730245068e-18	0.128618059	0.898409525528498	0.101590474471502	0.25002406	0.04330855	0.022568552	0	0.934122899	0.55548078	8
"49"	"WHIM74"	49	0.966864185642502	0.165491027	0	0.0331358143574982	0.28123617	0.041316592	0	0	0.958683409	0.511956212	49
"27"	"BCM_7649"	27	0.333710091791032	0.096803495	2.31168486917924e-19	0.666289908208968	0.639611973	0.035126295	0.112958066	0	0.85191564	0.115500172	27
"24"	"BCM_5471"	24	0.516042269880377	0.386204547	0.483957730119623	2.12784384025482e-17	0.424958695	0.009782264	2.21e-18	0	0.990217735	0.179054493	24
"28"	"BCM_7821"	28	0.788779306355832	2.51e-18	0	0.211220693644167	0.463439523	5.86e-19	0.017195366	0	0.982804634	0.519365111	28
"11"	"BCM_3107"	11	0.907203347362067	0.388157771	1.83689388929271e-17	0.0927966526379334	0.326884593	5.22e-20	0.11946087	0	0.880539131	0.165496767	11
"14"	"BCM_3561"	14	9.92336084868448e-18	0	0.579290115325014	0.420709884674986	0.304671058	0	3.72e-18	0	1	0.695328942	14
