"Epithelial.Basal" "T-Cell" "Adipocyte" "Epithelial-Other" "Macrophage" "CAF" "Epithelial-Her2" "Epithelial-Control" "Epithelial.Luminal"
"TCGA-AR-A5QQ-01" 0.266992116966998 0.0560835242410072 3.46944695195361e-18 0.297033856557506 0.192878558846315 0.043947433818681 7.67214236658296e-19 0.143064509569493 0
"TCGA-D8-A1JA-01" 9.62304513472402e-18 0 0.0455082848580445 9.45966547541832e-18 0.0685976191622084 0.0745353692442141 0.51358878151034 0.190288232470626 0.107481712754567
"TCGA-BH-A0BQ-01" 0.0369287944069541 0.0958877412185412 0.0515130733502693 0.160761005769542 0.0196858946651879 0.142548023744103 0.070157327698709 0.158889000624421 0.263629138522272
"TCGA-BH-A0BT-01" 0.0172831031541898 0.0581752661967943 0.0361189316006311 0.247035949389717 0.0132278041723633 0.0398193037358231 0.186134233144881 0.0754298400376368 0.326775568567964
"TCGA-A8-A06X-01" 0.217598130998198 0.0296665554513508 0.0508013945891119 0.10948584714348 0.052783270620666 0.0303072735107712 0.152516937780529 5.08624080201098e-19 0.356840589905893
"TCGA-A8-A096-01" 0.0499596158671862 0.0967285660244876 0.0282588783293414 0.0388050544125014 0.17391374375301 0.12252912831276 0.125245910270738 0.0233527997524641 0.341206303277511
"TCGA-BH-A0C7-01" 0.205349115409173 0.0773630746992977 0.0352024514661672 0.049880740827358 0 0.083516622395983 0.206757211437294 0.0152844646500775 0.32664631911465
"TCGA-AC-A5XU-01" 0.117569560898339 0.048281592209663 0.0555770399417752 0.124802311399619 0.00857396655429947 0.0785385355582388 0.0930325631188559 0.0616244087879768 0.412000021531232
"TCGA-PE-A5DE-01" 0.0385217961909117 0.301684366444532 0.00085070156121466 0.199659436833508 0.0691351125463101 0.0203844436676998 0.0309337497806315 0.0471325623356999 0.291697830639492
"TCGA-PE-A5DC-01" 0.104396073341122 0.0485737562274279 0.0524268308271087 0.234911319357895 0 0.026134451988604 0.189504345048933 0.0314744662190298 0.312578756989879
"TCGA-AR-A0TV-01" 0.174455870670187 0.0993095259846727 0.00706631682698078 0.0832694919033739 0.06540105679386 0.00480699030831649 0.130517079429594 6.72145784790595e-19 0.435173668083016
"TCGA-GM-A3XG-01" 0.00899115927547812 0.0408487720100524 0.0785772830598684 0.203903495025766 0 0.0138111798741933 0.0326986927913144 0.301446116131185 0.319723301832143
"TCGA-BH-A18J-01" 0.14004363319876 0.000297546055185084 2.4126629512991e-19 0.129939749618409 0.0536481612985664 0.108102478705155 0.160279958449815 0.119438505492429 0.28824996718168
"TCGA-BH-A0W7-01" 0.0555679382191368 0.163044898303187 0.0426443144790354 0.180355387444648 0.0703613485170584 0.0950121231072646 0.180542206167731 0.0336971801524426 0.178774603609496
"TCGA-E9-A3QA-01" 0.360303406361627 0.175881710118912 5.56301397944113e-19 0.216113281798512 0.130458817954084 0.0102357941570799 -1.04861748244921e-18 0.107006989609786 0
"TCGA-A7-A4SD-01" 0.29239039002726 0.0842016092213457 -2.59480152949174e-18 0.146608115260318 0.0823576908945431 0.0817407956625945 0.0665665866628729 0.229999898392074 0.0161349138789912
"TCGA-BH-A0HA-01" 0.0200097484836564 0.105359027111311 0.0640803484651347 0.212619019510047 0.02200699415548 0.171422800523793 0.0621006183113899 0.0288734289624324 0.313528014476756
"TCGA-AR-A5QN-01" 0.0330292548223593 0.0766087888489268 0.0871065498057542 0.134534067778571 0.0296887993568053 0.052909732614229 0.115538963568934 0.128919444134777 0.341664399069643
"TCGA-A7-A0CH-11" 0 0.0477875210933708 0.380953976535978 0.206586502774362 0.0804756232213102 0.0274453787991909 0.0221959718001219 0.123396931710763 0.111158094064904
"TCGA-A7-A0CE-01" 0.416339490899292 0.00271462698527723 0.0775879014879834 0.0977543621814178 0.0349712810364636 0.0305865383278962 0.0345402622592373 0.21688445669985 0.0886210801225816
"TCGA-AR-A0U1-01" 0.212183725821632 0.0578489013434039 0.058158199606404 0.235866396109068 0.037911162392158 0.0139666983684789 0.141986896888659 0.102728661278718 0.139349358191478
"TCGA-EW-A1OZ-01" 0.0147504921672624 0.029693282723465 0.0194999553793589 0.221718471134832 0.0482665525438761 0.0656850512377628 0.455791089969727 0.0233451872887354 0.12124991755498
"TCGA-A2-A0EY-01" 0.0465102491002836 0.0925006661720005 0 0.0690572249488295 0.0438269364917004 0.0398725611364746 0.294907761114976 0.134432618740746 0.278891982294989
"TCGA-A8-A09R-01" 0.0676841878550611 0.054838140991267 0.00809790445065002 0.0580114342378942 0.0998113170581331 0.105807894817709 0.237509861536393 0.0527572191781104 0.315482039874782
"TCGA-LL-A440-01" 2.29736714124577e-18 0.0967506294853905 0.107886151753984 0.13708936685875 0.143287265406546 0.26822746179631 2.16840434497101e-19 0.107408704058987 0.139350420640032
"TCGA-BH-A8FY-01" 0.0515144571275035 0.0214840506353112 -7.55195131036398e-20 0.224693486879252 0.0593784258919464 -1.20935740340807e-19 7.79567288617328e-20 0.05179151102947 0.591138068436517
"TCGA-E2-A1II-01" 0.463808951903242 0.220594135302315 0.0157790951663394 0.0250433374408008 0.144552476116142 -1.82971035213131e-19 7.7557153519125e-19 0.0709624187138786 0.0592595853572827
"TCGA-A7-A6VX-01" 0.0803412875186881 0.0195896804913202 -5.00685546308025e-18 0.0984987462104438 0.0361863712779696 0.12741994839888 0.205067250244715 0.0909628427200205 0.341933873137963
"TCGA-C8-A273-01" 0.0964634511019749 0.0195696592634895 0.0509068305557847 0.189909105637123 0.0159226163828544 0.0775028639217691 0.216494504694529 0.0449790181982237 0.288251950244252
"TCGA-BH-A1EO-01" 0.0235025644313081 0.0364117725506841 0.102427837263995 2.50236467941098e-18 0.104756613560847 0.207297333490455 0.255688509137056 0.0639846921425549 0.2059306774231
"TCGA-OL-A5RX-01" 0.0253928141094995 0.101655045850415 0.0545112334145201 0.138001258187563 0 0.0429073633903582 0.0507738062653825 0.222659705769703 0.364098773012558
"TCGA-BH-A0B9-01" 0.482426192065721 0.136401630178619 0 0.144940260949404 0.0530843066238506 -5.15143260014986e-18 3.0123677728233e-18 0.183147610182405 9.91260834744842e-18
"TCGA-EW-A1P5-01" 0.0302031082291572 0.0436854708646691 0.00827225965881677 0.162555365620372 0.118771628699682 0.0377804186273886 0.117173559246002 -6.21000200027747e-20 0.481558189053912
"TCGA-AO-A03P-01" 0.17515971214652 0.0251911765235359 0.0405188901161942 0.128014010980376 0.0211471785452931 0.0209667820686275 0.0758057877193885 0.00927932563171336 0.503917136268352
"TCGA-AN-A0AS-01" 0.0728119151101753 -5.86207493200762e-20 0 0.106735665398125 0.0941507106096469 0.197489421074899 0.215373320729312 0.079461543449984 0.233977423627858
"TCGA-A2-A1G0-01" 5.42675486751024e-18 0.131645172740463 0.0748222680016133 0 0.0182961417692315 0.0741647562388723 0.151136661705119 0.136347288234421 0.41358771131028
"TCGA-B6-A0I8-01" -1.06832576469981e-17 0.00102993656267283 0 0.113919884507973 0.00399652728855775 0.0606237326969057 0.427742168706055 0.106122044635847 0.286565705601988
"TCGA-A7-A4SA-01" 0.0653957488825998 0.188315931760707 0.0328348409288277 0.145270220991765 0.00788117790309197 0.07160358784187 0.164301238743565 0.0652688465763574 0.259128406371216
"TCGA-E9-A1RC-11" 0.0374918028568666 0.00132656065862041 0.680692547561146 0.0364229471207319 0.0636203494344863 0.043504834948679 0.102164793022555 2.37283580313895e-19 0.0347761643969151
"TCGA-A7-A0DB-11" 0.0439187850202376 1.95180333119352e-18 0.546103780194482 0.0543577280414587 0.191244709323575 0.108131102980727 0.0390680931786691 1.01400071915397e-18 0.0171758012608504
"TCGA-AR-A24S-01" 0.136308222909116 0.0277580254921326 0.0523982283015661 4.19064126129099e-19 0.222758696925721 0.0946225031943044 0.250121547319293 0.0548332399210897 0.161199535936778
"TCGA-BH-A0H9-11" 5.67136638244124e-18 0.0199050548896052 0.674993228418155 0.264840095925409 0.00133394075679382 -1.92227831643968e-19 -1.08003171246375e-18 -1.00889479066869e-18 0.0389276800100372
"TCGA-LD-A74U-01" 0.0299615322588679 0.0651784164058943 0.0632824673112878 0.149820758059313 0.0893720163331584 0.12984416365773 0.0668826481491222 0.124858695209623 0.280799302615004
"TCGA-D8-A1XA-01" 0.0692941580290046 0.0114622695739107 0.0262115626685587 0.0822024974806243 0.0748635363059645 0.0616779360704493 0.144724942974801 0.0450600280643748 0.484503068832312
"TCGA-D8-A1XR-01" 0.104227249879514 0.0216537309290656 -1.39098054097425e-19 0.0449568792944499 0.0394730856969039 0.0631881514517777 0.182674862204424 0.0693383825805533 0.474487657963311
"TCGA-A8-A07Z-01" 0.0530345443606515 0.0206171557295634 -5.5606758587222e-19 0.231058460496636 0.0582058154610298 0.0195135204918696 0.140785416187759 0.0275816261221808 0.44920346115031
"TCGA-E2-A1IJ-01" 0.00544080781625226 0.141671849298455 0.0713292733406695 0.105428180351203 0.0296831893439472 0.230123045103189 0.063735661041864 0.118573219087967 0.234014774616452
"TCGA-GM-A2DH-01" 0.258831164571568 0.197940052552101 0.0137382538895656 0.0443073310548408 0.0191787335548242 0.0228235571536852 0.252238161746915 0.02904883402057 0.16189391145593
"TCGA-BH-A0AY-01" 0.0864828244340523 0.0694547937870659 0.101280911259322 0.157060155861969 0.0576652704275135 0.124639572414236 0.171064497156922 0.0235778575158749 0.208774117143044
"TCGA-BH-A42V-01" 0.00458298369715277 0.124850528422013 0.104914880747323 0.176417587880459 -1.73472347597681e-18 0.0508078134452855 0.0705579018513626 0.155478042899191 0.312390261057214
"TCGA-B6-A0IH-01" 0.00374418275150793 0.126153157331484 0.098717461527477 0.0715932752901702 0.0103472057171884 0.117411759184817 0.0729395261112773 0.224783332398118 0.27431009968796
"TCGA-A1-A0SH-01" -8.60736702118267e-18 0.0430780431093064 1.2524263007381e-18 0 0.00866833456591585 0.479807278117424 0.197740739083399 0.166162630011306 0.104542975112649
"TCGA-AR-A1AQ-01" 0.503696559790654 0.120017585099961 0.0140079164112991 0.127160786790102 0.12148520845569 0.0314299217568868 -7.56169967414441e-19 0.0330748479511539 0.0491271737442528
"TCGA-A7-A0DC-01" 0.0491183066300605 1.43974449544591e-19 0.0123295106168196 0.0408460239495831 0 3.43815925064182e-19 0.214459650460589 0.0903149727370317 0.592931535605916
"TCGA-A8-A07P-01" 0 0.0268562461723848 0.00858376970711544 0.1081731791871 0.0601793212070026 0.0463875676164615 0.275823099281938 0.0456699782038325 0.428326838624165
"TCGA-A1-A0SN-01" 0.0949901765439294 0.119658258427964 0 0.0855895352307853 0.0281018422588929 0.107455485356186 0.394928368176674 0.025594411171405 0.143681922834163
"TCGA-BH-A18T-01" 0.651050299749581 0.0096635164189242 4.04847949460704e-18 0.0084212216861765 0.0467778366365053 0.0146652548271982 0.100444234053584 0.168977636628031 0
"TCGA-BH-A0E0-11" 8.73251583219087e-18 0.043087863608941 0.120946112576462 0.172489888165432 1.02122006732e-18 0.00151919330988847 0.102411225925832 0.310121356908811 0.249424359504632
"TCGA-E9-A22B-01" 0.0679592207338173 0.0256992760635464 0.0915981713783527 0.114529840676578 0.0533685825104743 0.068061831734973 0.215944043701987 0.0483279106505877 0.314511122549684
"TCGA-BH-A0HA-11" 0.0979450897090232 0.123403083877628 0.0816857377599478 0 -6.97018438547777e-20 1.96407879797696e-21 0.00247186850522307 0.446115269241406 0.248378950906772
"TCGA-BH-A18P-11" 0.0474720683558842 0.0493888334421446 0.383041934849103 0.0307531145484009 -5.17920883317362e-20 0 0.0589453388651708 0.179510746769814 0.250887963169482
"TCGA-E9-A1N4-11" 0.0551962753269574 0.114126874469373 0.0716889414551927 -1.29415076478669e-18 0.0164133732058858 0 0.0316826358307356 0.461339431286976 0.249552468424879
"TCGA-S3-AA10-01" 0.420300387758254 0.172052900318824 0.00780751835266391 0.166036547506791 0.134218076349551 0.0211437742915642 0 0.0784407954223509 0
"TCGA-AO-A0J9-01" 0.0825037282098342 0.0967941200517022 0.129984488236197 0.305820611223005 0.115812200061059 0.0667409925054613 0.00556383586556305 -3.29117912592745e-19 0.196780023847178
"TCGA-A1-A0SE-01" 0.122066380144817 0.0534543658220846 0.0431241522508894 0.0674026570951152 8.1805722099207e-21 0.102886470042028 0.130836500025903 0.151902687044964 0.328326787574199
"TCGA-OL-A5RV-01" -8.51566969443227e-19 0.0718741822634779 0.0301816607435142 0.104321774161775 0 0.0390094822197088 0.152459548936294 0.220436344769314 0.381717006905915
"TCGA-BH-A18U-11" 0.0450944691462524 0.0789729025314584 0.206804445695608 0.0289099420610612 0.0320827942128191 0.0210008428893433 0.0225621935187519 0.353918165457899 0.210654244486807
"TCGA-A2-A04U-01" 0.528241395582044 0.00513025311789796 -1.55396371265973e-19 0.244689258284409 6.31726793934057e-19 0.0410807728609707 -9.24964190817827e-19 0.159885506538197 0.0209728136164816
"TCGA-A2-A3XV-01" 0.0272757603218609 0.0144187675188859 0.0159761021628883 0.417761032968006 -1.94878847989959e-20 0 0.238292631420892 0.0606941598899477 0.225581545717519
"TCGA-A7-A3IZ-01" 0.106845030009664 0.0291624784222327 0.0408687550057296 0.0251580110146341 0.0415714042008993 0.0199729818931489 0.112786465221538 0.0458938851911519 0.577740989041001
"TCGA-E2-A1LS-11" 0.0946959764181832 0.0183166660348663 0.692143321817287 0.0129299645199447 1.95764805692228e-20 1.81920892427379e-20 0.0655585979483038 0.0122399640645602 0.104115509196855
"TCGA-AC-A2FM-11" 5.42458614086321e-18 0.0501495141735457 0.189570969999349 0.305550566616308 0.0265369109814294 0 -6.46511055795669e-18 0.280826713960138 0.14736532426923
"TCGA-D8-A1Y2-01" 0.0427375202783045 0.0329161535288973 0.0694075056303509 0.108760396829044 0.290899536720901 0.135506015938409 0.14054670349717 0.000953278011996222 0.178272889564927
"TCGA-E9-A229-01" 0.0868634473894377 0.0641319348869799 0.0329864619744659 0.0240605805524829 0.0752747311075644 0.233302553367443 0.157484985359799 0.0576537834390557 0.268241521922771
"TCGA-A7-A4SB-01" 0.0436320448883419 0.0364328445786173 0.0699529481459149 0.133952280846034 -8.15563140626948e-20 0.0336805566190496 0.259475616142583 0.0718646987791867 0.351009010000272
"TCGA-BH-A0HK-01" 0.0484613980729304 0.0780623940507213 0.102949693531429 0.0868861917856412 0.0104397174919761 0.0439724143570813 0.12935276460928 0.173182716060702 0.326692710040239
"TCGA-3C-AAAU-01" 0.0876414165846708 0.0284937592647428 0.00380610733799051 0.0708618592306371 0.0220936193082365 0.0345969989545891 0.179831281651401 0.0549261493142137 0.517748808353519
"TCGA-BH-A18M-11" 0.0477673149671703 0.102035978580184 0.342986634649988 0.020993013662693 0.0149463233461474 0.0638685272105528 0.0246595227674507 0.183505491637586 0.199237193178228
"TCGA-E2-A14Z-01" 0.117587862375214 0.150077180965316 0.0434812050259259 0.15342974629037 0.07228012017438 0.0355372104917587 0.148971940672063 0.0477092626003324 0.23092547140464
"TCGA-A2-A3XW-01" 0.0143695976860609 0.091519280688292 0.113765051542003 0.425311006986534 0.0208636284285531 0.0156975773553636 0 0.210781999758397 0.107691857554796
"TCGA-D8-A1Y1-01" 0.111505062050383 0 0.0505190888834152 0.0888292701259751 0.099292225255015 0.179355431676228 0.224735019173037 0.0135007788910608 0.232263123944887
"TCGA-AC-A7VB-01" 0.104526741490076 0 0.0318595297492818 0.121306211393474 5.58170099318277e-19 -3.00014235717141e-18 0.305512163656824 -8.93128006807345e-19 0.436795353710343
"TCGA-B6-A0RO-01" 0 0.00239167567302512 0.0240185063462069 0.120145379010485 0.0356707782484254 0.00593623307034229 0.200649674494483 0.145498891005764 0.465688862151267
"TCGA-A2-A04P-01" 0.337940106781281 0.108381754031115 0.0475725831259023 0.271279196176552 0.0263394806944599 0.0159173895389731 0 0.149214638604413 0.0433548510473031
