"sampleID"	"sampleNumber"	"Epithelial_Basal"	"Epithelial_Control"	"Epithelial_Her2"	"Epithelial_Luminal"	"Epithelial_Other"	"Macrophages"	"Stromal"	"T_cells"	"Epithelial_All"	"Colsum"	"tx"	"logfc_estimate"
"1"	"BCM_0002"	1	0.099839779	0.290388173	0.193476754	0.058820837	0.297259416	0.060215041	0	0	0.939784959	0.35213737	"Carbo"	-0.589087
"2"	"BCM_0104"	3	0.187169419	0.115503179	0	0.186532169	0.510795234	0	2.32e-18	1.1e-18	1.000000001	0.373701588	"Carbo"	-11.773462
"3"	"BCM_0132"	4	4.83e-18	0.208391113	0.144570503	0.007851329	0.610140311	0.029046744	2.57e-18	1.24e-19	0.970953256	0.152421832	"Carbo"	1.566526
"4"	"BCM_15003"	5	0.058342842	0.09002239	0	0.200936566	0.481594495	9.24e-18	0.104327627	0.06477608	0.830896293	0.259279408	"Carbo"	-0.719953
"5"	"BCM_15006"	6	0.260308834	0.019141322	0.129462844	1.17e-17	0.591086999	0	0	5.88e-18	0.999999999	0.389771678	"Carbo"	-3.72632
"6"	"BCM_15008"	7	0.448743873	0.170478307	1.23e-18	0	0.300669275	0.080108545	1.23e-18	0	0.919891455	0.448743873	"Carbo"	-7.359151
"7"	"BCM_15029"	8	2.3e-18	0.128618059	0.499049224	0.056431556	0.25002406	0.04330855	0.022568552	0	0.934122899	0.55548078	"Carbo"	-0.344869
"8"	"BCM_2147"	9	0.384078948	0.186688767	4.81e-18	0.008810186	0.362554172	0.040481148	0.017386779	2.43e-19	0.942132073	0.392889134	"Carbo"	-11.299254
"9"	"BCM_2665"	10	0.435968585	0.19178642	0.042119575	0	0.311028531	0.019096888	1.04e-18	9.16e-20	0.980903111	0.47808816	"Carbo"	1.910608
"10"	"BCM_3107"	11	0.150139221	0.388157771	3.04e-18	0.015357546	0.326884593	5.22e-20	0.11946087	0	0.880539131	0.165496767	"Carbo"	-3.387299
"11"	"BCM_3204"	12	0.210053112	0.287986889	0.076253635	0.04331538	0.335536012	0.008556248	0.038298725	2.57e-18	0.953145028	0.329622127	"Carbo"	-1.227791
"12"	"BCM_3469"	13	0.23892513	0.229714356	0.083236081	0.057954256	0.324525814	0.065644363	9.04e-19	0	0.934355637	0.380115467	"Carbo"	0.556197
"13"	"BCM_3561"	14	6.9e-18	0	0.402797183	0.292531759	0.304671058	0	3.72e-18	0	1	0.695328942	"Carbo"	0.288661
"14"	"BCM_3611"	15	0.029474871	0.336254543	0.216076903	0	0.347137305	0.071056378	0	4.3e-19	0.928943622	0.245551774	"Carbo"	1.108554
"15"	"BCM_3887"	16	0.44346644	0.083945018	0	0.006153196	0.36261037	0	0.069562891	0.034262085	0.896175024	0.449619636	"Carbo"	-6.579686
"16"	"BCM_3904"	17	0.441502186	0.067985809	0.159521231	8.25e-19	0.330990775	0	0	1.9e-18	1.000000001	0.601023417	"Carbo"	0.42127
