sampleID	sampleNumber	Epithelial_Basal	Epithelial_Control	Epithelial_Her2	Epithelial_Luminal	Epithelial_Others	Macrophages	Stromal	T_cells	Epithelial_All
SKBR3	1	6.05E-19	0.045478882	0.361556116	5.09E-18	0.487540635	0.01901631	0.086408058	0	0.894575633
MCF7	2	0	0	0	0.563136713	0.382283521	0	0.054579767	0	0.945420233
KPL1	3	0.155587357	0	0.212574414	0.262925339	0.30178722	0	0.067125669	1.66E-18	0.932874331
MDAMB134VI	4	0.076184649	0	0.088995639	0.540783956	0.258184551	0	0.020375763	0.015475442	0.964148795
ZR751	5	0.333402517	8.49E-19	0.061690197	0.306727563	0.275797584	8.72E-19	0.022382138	0	0.977617862
HCC1187	6	0.239163375	0.325866032	1.43E-17	7.43E-18	0.406871936	0	0.028098657	4.34E-19	0.971901343
EFM192A	7	1.99E-17	2.85E-18	0.523651808	5.47E-19	0.458781832	0.01352474	0.004041621	0	0.98243364
T47D	8	0.055758122	0	0.032168881	0.438213654	0.425735985	0	0.048123358	0	0.951876642
HS578T	9	0	0	0	1.20E-17	0.491569545	1.37E-18	0.508430455	2.08E-19	0.491569545
HCC1599	10	0.22870044	0.403543564	2.21E-19	1.20E-17	0.367755996	9.65E-18	0	0	1
CAL120	11	0.247474528	0.001614674	0	0	0.524489186	0	0.226421612	0	0.773578388
AU565	12	0	0.040569019	0.408462309	0	0.495835454	0.032876246	0.022256972	0	0.944866782
DU4475	13	0.563746965	0	3.11E-18	0	0.32756683	4.89E-18	0.029311861	0.079374344	0.891313796
HCC38	14	0.089322418	0.157650228	0	0.067234502	0.622572706	0	0.038155566	0.025064581	0.936779854
HCC1419	15	1.11E-17	0	0.424693017	0	0.575306983	4.28E-19	0	1.53E-19	1
HCC1500	16	9.83E-18	1.07E-18	5.29E-18	0.361913856	0.62130527	0	0.016780874	0	0.983219126
HCC1428	17	0.142505016	0.050582948	0	0.249267802	0.505530909	0	0.052113326	0	0.947886674
BT20	18	0.148628864	2.50E-18	0	0	0.851371136	3.49E-18	6.49E-18	4.99E-20	1
UACC893	19	1.44E-17	0	0.456486725	5.03E-18	0.53729075	0	0	0.006222525	0.993777475
UACC812	20	0.021771901	0	0.56722359	0.048950407	0.327639899	0	0.021544449	0.012869754	0.965585797
HCC1806	21	0.178678436	0.09408917	7.57E-18	0	0.678368214	0.006907661	0.027914032	0.014042487	0.95113582
HMEL	22	1.20E-17	0.146977432	0.144853007	0.151956253	0.556213308	3.26E-18	9.39E-18	1.08E-19	1
HDQP1	23	0.032569536	0.045726859	0.143459307	1.97E-18	0.651429233	2.29E-18	0.126815065	0	0.873184935
HCC70	24	0.14583685	0.136059525	3.14E-18	3.19E-17	0.718103624	0	0	0	1
HCC1395	25	0.310624474	0	0	5.23E-18	0.492353906	0	0.19702162	3.71E-19	0.80297838
HCC202	26	0.007208527	0.027675854	0.461116824	8.44E-18	0.503998795	0	0	0	1
HCC2218	27	1.92E-17	0.115929002	0.366112219	0.051222623	0.448000693	0	0.018735463	0	0.981264537
MDAMB175VII	28	3.30E-18	3.55E-18	0.30081187	0.009385525	0.679644645	0	0.01015796	0	0.98984204
CAMA1	29	0	0.007954846	0	0.374622433	0.562625682	0	0.054797039	0	0.945202961
BT483	30	1.67E-17	0.053555116	0.011924592	0.546244156	0.381726176	0	0.006549959	8.08E-20	0.993450041
ZR7530	31	0	0	0.568069519	0	0.431930481	5.52E-19	0	1.52E-18	1
MDAMB468	32	0.467969134	0.051939284	0.057011348	0	0.423080234	2.88E-18	6.64E-18	0	1
CAL851	33	2.30E-18	0.013856727	0.085642896	1.67E-17	0.835257649	7.34E-18	0.052442724	0.012800003	0.934757273
HCC1954	34	0.08069684	0.016963551	0.43366238	4.63E-18	0.468677229	0	0	0	1
MDAMB415	35	4.61E-18	1.61E-18	0.369925571	0.065573276	0.488820151	0.008288726	0.05477653	0.012615745	0.924318999
MDAMB453	36	0.322742073	1.09E-18	0.386937047	0	0.29032088	5.69E-19	0	1.07E-18	1
BT474	37	0.157340907	0.009313384	0.205222614	0.277278795	0.3508443	0	0	4.30E-18	1
HCC1569	38	0.319695054	0.095334205	0	0	0.497203239	0	0.087767502	0	0.912232498
MDAMB361	39	0.359951175	0	0.367098136	0.131462176	0.141488513	4.58E-21	1.40E-18	7.89E-20	1
