"sampleID" "sampleNumber" "Epithelial_Basal" "Epithelial_Control" "Epithelial_Her2" "Epithelial_Luminal" "Epithelial_Other_Profile" "Macrophages" "Stromal" "T_cells"
"1" "GCRC1735X" 1 0.253750750748935 0.201627789464404 0 0 0.544621459786661 0 0 0
"2" "GCRC1738X" 2 0.264760254454411 0.0229617943776179 2.29598008100102e-18 0 0.712277951167971 0 1.18262834026365e-18 0
"3" "GCRC1784Xd" 3 1.8065276044177e-17 0.241401649207832 0 0.0817009805114074 0.625827358995815 5.60278970353668e-18 0.0510700112849452 0
"4" "GCRC1828X" 4 0 0.565232661876437 2.35890235027304e-17 1.90749761413564e-16 0.421697913395552 0 0.0130694247280118 0
"5" "GCRC1834X" 5 0.0653776116409127 0.354628785942579 0 2.07936940018389e-18 0.579993602416508 5.4794884592618e-18 5.86561367599285e-18 0
"6" "GCRC1840X" 6 0.26807537377049 4.92868760042534e-18 0 0 0.73192462622951 9.04763074020053e-18 0 2.43764626027418e-18
"7" "GCRC1851X" 7 0 0.343636552754705 0.0335013609699276 0 0.536429019731363 0.0360131230388174 0.050419943505187 0
"8" "GCRC1863X" 8 0.103062790899779 0.0529731719280309 0.279573721888509 0 0.564390315283681 0 0 0
"9" "GCRC1868X" 9 0.20688789077739 0 0.060385802039082 0 0.469969869272168 0 0.262756437911361 1.10805128907809e-19
"10" "GCRC1876X" 10 0.202691926204797 2.9118107957121e-17 0 0 0.709753133997971 0.0460832574961479 0.0116943291775191 0.0297773531235647
"11" "GCRC1882X" 11 0.324295510059811 0 1.11051683990786e-17 0 0.524199245687255 0.0769177507366317 0.0303434881756454 0.0442440053406572
"21" "GCRC1886X" 12 0 0.240632578951751 1.37035903806095e-17 3.05649987698407e-17 0.468013696067023 0.102408399340196 0.18894532564103 2.75422436086818e-18
"31" "GCRC1887X" 13 0 0 0.39847994244608 3.90688483800834e-17 0.471234430158314 0.130285627395606 5.46212556253995e-18 0
"41" "GCRC1905X" 14 0.346732955171725 0.0191915449744637 0.0111463871914297 3.93459322724135e-17 0.50490250188512 0.089004835608862 0.0290217751683999 4.42218608493243e-18
"51" "GCRC1915X" 15 0.171197903427862 0.0607291736034042 1.27853723281745e-18 1.33459572387804e-18 0.677803995727879 0.0902689272408545 0 1.21426079035182e-18
"61" "GCRC1924X" 16 0.528329067340502 4.31779494599237e-18 0 0.00634630554928002 0.434014832335943 0.0295335641743661 0.00177623059990894 8.161263495379e-20
"71" "GCRC1939X" 17 0.332699222085397 1.04658698526489e-17 0 1.94944780063676e-17 0.541764881448641 0.125535896465962 0 0
"81" "GCRC1944X" 18 0 0 0.53852105464267 5.05499723011526e-17 0.36213204709325 0.0993468982640809 1.1755662247348e-17 1.48247386478523e-18
"91" "GCRC1945X" 19 0.381848727151298 0.0550664730241959 0 2.59035559712445e-17 0.31863482189682 0.18578606959401 0.0586639083336759 0
"101" "GCRC1963X" 20 0.325612860922285 0 0 2.67851829648307e-17 0.594627294033088 0.00939997055670388 0.0703598744879229 0
"12" "GCRC1971X" 21 4.43079781398346e-17 5.06580401184026e-17 0.456515396973509 0 0.543484603026491 0 8.46878545814589e-19 0
"22" "GCRC1979X" 22 0 5.26274943938168e-17 0.429667309186263 0.112439037945498 0.440733990348652 8.67361737988404e-19 0.017159662519587 0
"32" "GCRC1986X" 23 0.264334407550674 0 0 7.34090603261321e-18 0.735665592449326 0 0 0
"42" "GCRC1991X" 24 1.73667780114419e-17 0 0.388224851494492 2.9832489972385e-18 0.611775148505508 0 1.07599825996521e-17 0
"52" "GCRC2006X" 25 0.349014725837196 0 1.17936619212617e-17 1.09829599789983e-17 0.650985274162804 0 0 0
"62" "GCRC2047X" 26 0.441945998606917 0 0 2.86872235851062e-18 0.526642053906176 0 0.0314119474869074 0
"72" "GCRC2061X" 27 0.297888304103644 1.45819365400514e-17 0 2.64954332686517e-17 0.702111695896356 1.46796812207249e-18 0 0
